continent,cont_image,cont_name,center,pop,area,money,lang,religion
아시아,l_flag_Gruziya.gif,그루지야,트빌리시,496만명,"69,700km",라리,그루지야어,그루지아정교
아시아,l_flag_nepal.gif,네팔,카트만두,"2,369만명","147,181km",네팔 루피,네팔어,힌두교
아시아,l_flag_korea.gif,대한민국,서울,"4,790만명","99,461km",원,한국어,"불교, 그리스도교"
아시아,l_flag_East_Timor.gif,동티모르,딜리,83만명,"14,874km",달러,포르투갈어,그리스도교(카톨릭)
아시아,l_flag_Laos.gif,라오스,비엔티안,577만명,"236,800km",깁,라오어,불교
아시아,l_flag_Lebanon.gif,레바논,베이루트,367만명,"10,400km",레바논 파운드,아랍어,"이슬람교, 그리스도교"
아시아,l_flag_malaysia.gif,말레이시아,콸라룸푸르,"2,437만명","329,845km",링깃,말레이어,이슬람교
아시아,l_flag_Maldives.gif,몰디브,말레,28만명,298km,루피아,디베히어,이슬람교
아시아,l_flag_Mongolia.gif,몽골,울란바토르,245만명,"1,564,160km",투그릭,몽골어,티벳불교
아시아,l_flag_myanmar.gif,미얀마(버마),양곤,"4,223만명","676,577km",걋트,미얀마어,불교
아시아,l_flag_Bahrain.gif,바레인,마나마,67만명,707km,바레인 디나르,아랍어,이슬람교
아시아,l_flag_bangladesh.gif,방글라데시,다카,"13,337만명","147,570km",타카,벵골어,이슬람교
아시아,l_flag_viet_nam.gif,베트남,하노이,"7,993만명","331,041km",동,베트남어,불교
아시아,l_flag_Bhutan.gif,부탄,팀부,72만명,"46,500km",눌트룸,종카어,라마교
아시아,l_flag_Brunei.gif,브루나이,반다르세리 베가완,35만명,"5,770km",브르나이 달러,말레이어,"이슬람교, 불교"
아시아,l_flag_saudi.gif,사우디아라비아,리야드,"2,337만명","2,248,000km",사우디 리얄,아랍어,이슬람교
아시아,l_flag_sri_lanka.gif,스리랑카,스리자야와르데네프라코테,"1,887만명","65,610km",스리랑카 루피,신할리어,불교
아시아,l_flag_Syria.gif,시리아,다마스쿠스,"1,672만명","185,180km",시라아 파운드,아랍어,이슬람교
아시아,l_flag_singapore.gif,싱가포르,싱가포르,420만명,682km,싱가포르 달러,"말리이어, 영어, 중국어","불교, 이슬람교"
아시아,l_flag_united_arab_emirates.gif,아랍에미리트,아부다비,310만명,"83,600km",디르함,아랍어,이슬람교
아시아,l_flag_armenia.gif,아르메니아 공화국,예레반,300만명,"29,743km",드람(dram),아르메니아어,아르메니아정교
아시아,l_flag_Agerbaidjan.gif,아제르바이잔,바쿠,817만명,"86,600km",마나트,아제르바이잔어,이슬람교
아시아,l_flag_afghanistan.gif,아프가니스탄,카불,"2,775만명","647,500km",아프가니,파슈토어,이슬람교
아시아,l_flag_Yemen.gif,예멘,사나,"1,949만명","472,099km",예멘 리알,아랍어,이슬람교
아시아,l_flag_Oman.gif,오만,무스카트,252만명,"309,500km",오만 리알,아랍어,이슬람교
아시아,l_flag_jordan.gif,요르단,암만,526만명,"88,942km",요르단 디나르,아랍어,이슬람교
아시아,l_flag_uzbekistan.gif,우즈베키스탄,타슈켄트,"2,515만명","447,400km",숨,우즈베크어,이슬람교
아시아,l_flag_Iraq.gif,이라크,바그다드,"2,400만명","435,052km",이라크 디나르,아랍어,이슬람교
아시아,l_flag_Iran.gif,이란,테헤란,"6,545만명","1,633,841km",리얄,페르시아어,이슬람교
아시아,l_flag_israel.gif,이스라엘,예루살렘,639만명,"20,425km",세켈,히브리어,유대교
아시아,l_flag_india.gif,인도,뉴델리,"100,476만명","3,287,263km",루피,"힌두어, 영어",힌두교
아시아,l_flag_indonesia.gif,인도네시아,자카르타,"21,102만명","1,922,570km",루피아,인도네시아어,이슬람교
아시아,l_flag_japan.gif,일본,도쿄,"12,734만명","377,835km",엔,일본어,"불교, 신도교"
아시아,l_flag_North_Korea.gif,조선민주주의인민공화국,평양,"2,222만명","122,762km",원,한국어,불교
아시아,l_flag_china.gif,중국,베이징,"128,421만명","9,597,000km",위안,중국어,불교
아시아,l_flag_kazakhstan.gif,카자흐스탄,아스타나,"1,488만명","2,724,900km",텡게,"카자흐어, 러시아어",이슬람교
아시아,l_flag_Qatar.gif,카타르,도하,60만명,"11,427km",카타르 리얄,아랍어,이슬람교
아시아,l_flag_cambodia.gif,캄보디아,프놈펜,"1,341만명","181,035km",리엘,크레르어,불교
아시아,l_flag_Kuwait.gif,쿠웨이트,쿠웨이트,225만명,"17,818km",쿠웨이트 디나르,아랍어,이슬람교
아시아,l_flag_Kyrgyzstan.gif,키르기스스탄,비슈케크,455만명,"199,900km",솜,키르기스어,이슬람교
아시아,l_flag_thailand.gif,타이(태국),방콕,"6,125만명","513,115km",바트,타이어,불교
아시아,l_flag_taiwan.gif,타이완,타이베이,"2,234만명","36,179km",타이완달러,베이징어,"불교, 도교, 유교"
아시아,l_flag_Tadzhikistan.gif,타지키스탄,두샨베,610만명,"143,100km",타지크루블,타지크어,이슬람교
아시아,l_flag_Turkmenistan.gif,투르크메니스탄,아스하바드,546만명,"488,100km",마나트,투르크멘어,이슬람교
아시아,l_flag_pakistan.gif,파키스탄,이슬라마바드,"14,596만명","796,095km",파키스탄 루피,"우르두어, 영어",이슬람교
아시아,l_flag_philippines.gif,필리핀,마닐라,"7,988만명","300,076km",페소,"필리핀어, 영어",그리스도교(카톨릭)
오세아니아,l_flag_Nauru.gif,나우루,야렌,1만명,21km,오스트레일리아달러,"나우루어, 영어",그리스도교(개신교)
오세아니아,l_flag_new_zealand.gif,뉴질랜드,웰링턴,389만명,"270,534km",뉴질랜드달러,영어,"그리스도교(영국성공회, 장로교)"
오세아니아,l_flag_Marshall.gif,마셜,마주로,5만명,181km,US달러,영어,그리스도교
오세아니아,l_flag_Micronesia.gif,미크로네시아,팔리키르,10만명,701km,US달러,영어,"그리스도교(카톨릭, 개신교)"
오세아니아,l_flag_Vanuatu.gif,바누아투,빌라,19만명,"12,190km",바투,"영어, 프랑스어",그리스도교
오세아니아,l_flag_samoa.gif,서사모아,아피아,17만명,"2,813km",타라,"사모아어, 영어",그리스도교
오세아니아,l_flag_Solomonlslands.gif,솔로몬제도,호니아라,43만명,"28,370km",솔로몬달러,영어,그리스도교
오세아니아,l_flag_australia.gif,오스트레일리아,캔버라,"1,970만명","7,686,850km",오스트레일리아달러,영어,"그리스도교(영국성공회, 카톨릭)"
오세아니아,l_flag_Kiribati.gif,키리바시,타라와,9만명,811km,오스트레일리아달러,"길버트어, 영어",그리스도교(카톨릭)
오세아니아,l_flag_Tonga.gif,통가,누쿠알로파,10만명,749km,팡가,"통가어, 영어",그리스도교
오세아니아,l_flag_Tuvaiu.gif,투발루,푸나푸티,1만명,26km,"오스트레일리아달러, 투발루달러","투발루어, 영어",그리스도교(투발루교회)
오세아니아,l_flag_PapuaNew_Guinea.gif,파푸아뉴기니,포트모르즈비,542만명,"462,840km",키나,"영어, 파푸아어","그리스도교(개신교, 카톨릭)"
오세아니아,l_flag_Palau.gif,팔라우,코로르,2만명,488km,US달러,영어,그리스도교
오세아니아,l_flag_Fiji.gif,피지,수바,82만명,18272,피지달러,"피지어, 영어","그리스도교(감리교, 카톨릭)"
남아메리카,l_flag_Guyana.gif,가이아나,조지타운,77만명,"215,083km",가이아나달러,영어,그리스도교(개신교)
남아메리카,l_flag_Venezuela.gif,베네수엘라공화국,카라카스,"2,463만명","916,445km",볼리바르,스페인어,그리스도교(카톨릭)
남아메리카,l_flag_Bolivia.gif,볼리비아,라파스,840만명,"1,098,581km",볼리비아노,스페인어,그리스도교(카톨릭)
남아메리카,l_flag_brazil.gif,브라질,브라질리아,"17,461만명","8,547,403km",레알,포루투갈어,그리스도교(카톨릭)
남아메리카,l_flag_Surinam.gif,수리남,파라마리보,43만명,"163,820km",수리남길드,네덜란드어,"힌두교, 그리스도교(개신교)"
남아메리카,l_flag_argentina.gif,아르헨티나,부에노스아이레스,"3,674만명","2,791,810km",페소,스페인어,그리스도교(카톨릭)
남아메리카,l_flag_ecuador.gif,에콰도르,키토,"1,309만명","272,045km",US달러,스페인어,그리스도교(카톨릭)
남아메리카,l_flag_uruguay.gif,우루과이,몬테비데오,330만명,"176,215km",페소,스페인어,그리스도교(카톨릭)
남아메리카,l_flag_chile.gif,칠레,산티아고,"1,508만명","756,626km",페소,스페인어,그리스도교(카톨릭)
남아메리카,l_flag_colombia.gif,콜롬비아,보고타,"4,100만명","1,141,568km",페소,스페인어,그리스도교(카톨릭)
남아메리카,l_flag_Paraguay.gif,파라과이,아순시온,577만명,"406,752km",과라니,"스페인어, 과라니어",그리스도교(카톨릭)
남아메리카,l_flag_Peru.gif,페루,리마,"2,674만명","1,285,216km",누에보솔,"스페인어, 케추아어",그리스도교(카톨릭)
북아메리카,l_flag_Guatemala.gif,과테말라,과테말라,"1,198만명","108,889km", 퀘찰,스페인어,그리스도교(카톨릭)
북아메리카,l_flag_Grenada.gif,그레나다,세인트조지스,10만명,344km,EC달러,영어,그리스도교(카톨릭)
북아메리카,l_flag_Nicaragua.gif,니카라과,마나구아,502만명,"130,373km",코르도바오로,스페인어,그리스도교(카톨릭)
북아메리카,l_flag_dominican_republic.gif,도미니카공화국,산토도밍고,883만명,"48,671km",페소,스페인어,그리스도교(카톨릭)
북아메리카,l_flag_Barbados.gif,도미니카연방,로조,7만명,739km,EC달러,영어,그리스도교(카톨릭)
북아메리카,l_flag_mexico.gif,멕시코,멕시코시티,"10,097만명","1,964,375km",페소,스페인어,그리스도교(카톨릭)
북아메리카,l_flag_united_states.gif,미국,워싱턴,"28,606만명","9,633,350km",달러,영어,그리스도교(개신교)
북아메리카,l_flag_baebados.gif,바베이도스,브리지타운,27만명,431km,바베이도스달러,영어,그리스도교(영국성공회)
북아메리카,l_flag_bahamas.gif,바하마,나소,30만명,"13,939km",바하마달러,영어,그리스도교(개신교)
북아메리카,l_flag_Belize.gif,벨리즈,벨모판,24만명,"22,965km",벨리즈달러,"영어, 스페인어",그리스도교(카톨릭)
북아메리카,l_flag_St.Lucia.gif,세인트루시아,캐스트리스,16만명,617km,EC달러,영어,그리스도교(카톨릭)
북아메리카,l_flag_Nevis.gif,세인트키츠네비스,바스테르,4만명,269km,EC달러,영어,그리스도교(카톨릭)
북아메리카,l_flag_Haiti.gif,아이티,포르토프랭스,706만명,"27,700km",구르드,"프랑스어, 크레오르어",그리스도교(카톨릭)
북아메리카,l_flag_Antiguaand_Barbuda.gif,앤티가바부다,세인트존스,7만명,440km,EC달러,영어,그리스도교(카톨릭)
북아메리카,l_flag_ElSalvador.gif,엘살바도로,산살바도르,635만명,"21,041km",콜론,스페인어,그리스도교(카톨릭)
북아메리카,l_flag_Honduras.gif,온두라스,테쿠시갈파,662만명,"112,088km",렘피라,스페인어,그리스도교(카톨릭)
북아메리카,l_flag_Jamaica.gif,자메이카,킹스턴,263만명,"10,991km",자메이카달러,영어,그리스도교(영국성공회)
북아메리카,l_flag_canada.gif,캐나다,오타와,"3,124만명","9,970,610km",캐나다달러,"영어, 프랑스어",그리스도교(카톨릭)
북아메리카,l_flag_costa_rica.gif,코스타리카,산호세,396만명,"51,100km",콜론,스페인어,그리스도교(카톨릭)
북아메리카,l_flag_cuba.gif,쿠바,아바나,"1,119만명","110,861km",페소,스페인어,그리스도교(카톨릭)
북아메리카,l_flag_TrinidadandTobago.gif,트리니다드토바고,포트오브스페인,129만명,"5,128km",트리니다드토바고달러,영어,그리스도교(카톨릭)
북아메리카,l_flag_panama.gif,파나마,파나마,290만명,"74,979km",발보아,스페인어,그리스도교(카톨릭)
아프리카,l_flag_ghana.gif,가나,아크라,"2,024만명","238,533km",세디,영어,"그리스도교, 이슬람교"
아프리카,l_flag_Gabon.gif,가봉,리브르빌,123만명,"267,667km",CFA프랑,프랑스어,그리스도교(카톨릭)
아프리카,l_flag_gambia.gif,감비아,반줄,141만명,"10,689km",달라시,영어,이슬람교
아프리카,l_flag_Guinea.gif,기니,코나크리,777만명,"245,857km",기니프랑,프랑스어,이슬람교
아프리카,l_flag_GuineaBissau.gif,기니비사우,비사우,134만명,"36,125km",CFA프랑,포르투갈어,부족종교
아프리카,l_flag_Namibia.gif,나미비아,빈트후크,166만명,"824,290km",나미비아달러,"영어, 아프리칸스어",그리스도교
아프리카,l_flag_Nigeria.gif,나이지리아,아부자,"12,993만명","923,768km",나이라,영어,그리스도교
아프리카,l_flag_South_Sudan.gif,남수단,주바,979만명,"619,745km",디나르,아랍어,토속종교
아프리카,l_flag_south_africa.gif,남아프리카공화국,프리토리아,"4,517만명","1,219,090km",랜드,"영어, 아프리칸스어",그리스도교
아프리카,l_flag_Niger.gif,니제르,니아메,"1,064만명","1,186,408km",CFA프랑,프랑스어,이슬람교
아프리카,l_flag_Liberia.gif,라이베리아,몬로비아,328만명,"99,067km",라이베리아 달러,영어,"그리스도교, 부족종교"
아프리카,l_flag_Lesotho.gif,레소토,마세루,220만명,"30,355km",르완다프랑,프랑스어,그리스도교(카톨릭)
아프리카,l_flag_Rwanda.gif,르완다,키갈리,739만명,"26,338km",르완다프랑,프랑스어,그리스도교(카톨릭)
아프리카,l_flag_libya.gif,리비아,트리폴리,536만명,"1,757,000km",디나르,아랍어,이슬람교
아프리카,l_flag_Madagascar.gif,마다가스카르,안타나나리보,"1,674만명","587,041km",말라가시 프랑,"프랑스어, 마다가스카르어",그리스도교
아프리카,l_flag_Malawi.gif,말라위,릴롱궤,"1,052만명","118,484km",말라위 콰차,"영어, 치치와어",그리스도교
아프리카,l_flag_Mali.gif,말리,바마코,"1,134만명","1,248,574km",CFA프랑,프랑스어,이슬람교
아프리카,l_flag_morocco.gif,모로코,라바트,"2,963만명","710,850km",디르햄,"아랍어, 프랑스어",이슬람교
아프리카,l_flag_Mauritius.gif,모리셔스,포트루이스,121만명,"2,040km",모리셔스 루피,"영어, 프랑스어","힌두교, 그리스도교(카톨릭)"
아프리카,l_flag_Mauritania.gif,모리타니,누악쇼트,265만명,"1,030,700km",우기야,"아랍어, 프랑스어",이슬람교
아프리카,l_flag_Mozambique.gif,모잠비크,마푸토,"1,808만명","812,379km",메티칼,포르투갈어,"부족종교, 그리스도교"
아프리카,l_flag_Benin.gif,베냉,포르토노보,678만명,"112,620km",CFA프랑,프랑스어,부족종교
아프리카,l_flag_Botswana.gif,보츠와나,가보로네,167만명,"582,000km",풀라,영어,그리스도교
아프리카,l_flag_Burundi.gif,부룬디,부줌부라,637만명,"27,834km",브룬디 프랑,프랑스어,그리스도교(카톨릭)
아프리카,l_flag_Burkina_Faso.gif,부르키나파소,와가두구,"1,260만명","274,200km",CFA프랑,프랑스어,"이슬람교, 그리스도교"
아프리카,l_flag_Principe.gif,상투메프린시페,상투메,14만명,"1,001km",도부라,포르투갈어,그리스도교(카톨릭)
아프리카,l_flag_Western_Sahara.gif,서사하라,엘아이운,240만명,"252,120km",파운드,아랍어,회교
아프리카,l_flag_Senegal.gif,세네갈,다카르,990만명,"196,712km",CFA프랑,프랑스어,이슬람교
아프리카,l_flag_Seychelles.gif,세이셀,빅토리아,8만명,455km,세이셀 루피,"영어, 프랑스어",그리스도교(카톨릭)
아프리카,l_flag_somalia.gif,소말리아,모가디슈,775만명,"637,000km",소마리아 실링,소말리아어,이슬람교
아프리카,l_flag_Sudan.gif,수단,하르툼,"2,629만명","1,884,145km",수단 디나르,아랍어,이슬람교
아프리카,l_flag_Swaziland.gif,스와질랜드,음바바네,110만명,"17,364km",리랑게니,영어,그리스도교
아프리카,l_flag_Sierra_Leone.gif,시에라리온,프리타운,482만명,"71,740km",레오네,영어,이슬람교
아프리카,l_flag_algeria.gif,알제리,알제,"3,126만명","2,381,741km",알제리디나르,아랍어,이슬람교
아프리카,l_flag_angola.gif,앙골라,루안다,"1,059만명","1,246,700km",콴자,포르투갈어,"부족종교, 그리스도교(카톨릭)"
아프리카,l_flag_Eritrea.gif,에리트레아,아스마라,398만명,"121,100km",낙파,아랍어,이슬람교
아프리카,l_flag_ethiopia.gif,에티오피아,아디스아바바,"6,767만명","1,133,882km",비르,암하라어,에티오피아정교
아프리카,l_flag_Uganda.gif,우간다,캄팔라,"2,398만명","241,038km",우간다 실링,영어,그리스도교
아프리카,l_flag_egypt.gif,이집트,카이로,"6,634만명","997,690km",이집트 파운드,아랍어,이슬람교
아프리카,l_flag_Zambia.gif,잠비아,루사카,995만명,"752,614km",콰차,영어,부족종교
아프리카,l_flag_EquatorialGuinea.gif,적도기니,말라보,49만명,"28,051km",CFA프랑,스페인어,부족종교
아프리카,l_flag_Central_African_Republic.gif,중앙아프리카공화국,방기,364만명,"622,436km",CFA프랑,"프랑스어, 상고어",부족종교
아프리카,l_flag_Djiibouti.gif,지부티,지부티,47만명,"23,200km",지브티 프랑,프랑스어,이슬람교
아프리카,l_flag_Zimbabwe.gif,짐바브웨,하라레,"1,137만명","390,757km",짐바브웨 달러,영어,부족종교
아프리카,l_flag_Chad.gif,차드,은자메나,899만명,"1,284,000km",CFA프랑,"프랑스어, 아랍어",이슬람교
아프리카,l_flag_cameroon.gif,카메룬,야운데,"1,618만명","475,422km",CFA프랑,"프랑스어, 영어",그리스도교(카톨릭)
아프리카,l_flag_Cape_Verde.gif,카보베르데,프라이아,40만명,"4,033km",에스쿠도,포르투갈어,그리스도교(카톨릭)
아프리카,l_flag_kenya.gif,케냐,나이로비,"3,113만명","582,648km",케냐실링,영어,그리스도교
아프리카,l_flag_Comoros.gif,코모로,모로니,58만명,"1,862km",코모로 프랑,"프랑스어, 코모로어",이슬람교
아프리카,l_flag_Cote_d__Ivoire.gif,코트디부아르,야무수크로,"1,680만명","322,463km",CFA프랑,프랑스어,이슬람교
아프리카,l_flag_congo.gif,콩고공화국,브라자빌,289만명,"342,000km",CFA프랑,프랑스어,"그리스도교, 부족종교"
아프리카,l_flag_Democratic_Republic_of_the_Congo.gif,콩고민주공화국,킨샤사,"5,255만명","2,344,858km",콩고프랑,"프랑스어, 링갈라어",그리스도교(카톨릭)
아프리카,l_flag_tanzania.gif,탄자니아,다르에스살람,"3,623만명","942,799km",탄자니아 실링,"스와힐리어, 영어","그리스도교, 이슬람교"
아프리카,l_flag_Togo.gif,토고,로메,515만명,"56,785km",CFA프랑,프랑스어,부족종교
아프리카,l_flag_Tunisia.gif,튀니지,튀니스,982만명,"164,150km",디나르,아랍어,이슬람교
유럽,l_flag_greece.gif,그리스,아테네,"1,099만명","131,957km",유로,그리스어,그리스정교
유럽,l_flag_Netherlands.gif,네덜란드,암스테르담,"1,614만명","41,526km",유로,네덜란드어,그리스도교(카톨릭)
유럽,l_flag_norway.gif,노르웨이,오슬로,453만명,"323,758km",노루웨이크로네,노루웨이어,그리스도교(복음루터교)
유럽,l_flag_denmak.gif,덴마크,코펜하겐,537만명,"43,094km",덴마크크로네,덴마크어,그리스도교(복음루터교)
유럽,l_flag_germany.gif,독일,베를린,"8,250만명","357,021km",유로,독일어,그리스도교(카톨릭)
유럽,l_flag_Latvia.gif,라트비아,리가,234만명,"64,589km",라트,라트비아어,그리스도교
유럽,l_flag_russia.gif,러시아,모스크바,"14,367만명","17,075,400km",루불,러시아어,러시아정교
유럽,l_flag_romania.gif,루마니아,부쿠레슈티,"2,116만명","237,500km",레이,루마니아어,루마니아정교
유럽,l_flag_Luxembourg.gif,룩셈부르크,룩셈부르크,44만명,"2,586km",유로,"룩셈부르크어, 독일어, 프랑스어",그리스도교(카톨릭)
유럽,l_flag_Lithuania.gif,리투아니아,빌뉴스,347만명,"65,300km",리타스,리투아니아어,그리스도교(카톨릭)
유럽,l_flag_Liechtenstein.gif,리히텐슈타인,파두츠,3만명,160km,스위스프랑,독일어,그리스도교(카톨릭)
유럽,l_flag_Macedonia.gif,마케도니아,스코페,203만명,"25,713km",디나르,마케도니아어,마케도니아정교
유럽,l_flag_monaco.gif,모나코,모나코,3만명,1.95km,유로,프랑스어,그리스도교(카톨릭)
유럽,l_flag_montenegro.gif,몬테네그로,포드고리차,65만명,"13,812km",유로,세르비아어,세르비아정교
유럽,l_flag_Moldova.gif,몰도바,키시네프,362만명,"33,843km",레이,몰도바어,러시아정교
유럽,l_flag_Malta.gif,몰타,발레타,38만명,316km,몰타리라,"몰타어, 영어",그리스도교(카톨릭)
유럽,l_flag_VaticanCity.gif,바티칸,바티칸,"1,000명",0.44km,리라,이탈리아어,그리스도교(카톨릭)
유럽,l_flag_belgium.gif,벨기에,브뤼셀,"1,028만명","30,528km",유로,"네덜란드어, 프랑스어",그리스도교(카톨릭)
유럽,l_flag_belarus.gif,벨로루시,민스크,993만명,"207,600km",벨로루시루블,벨로루시어,러시아정교
유럽,l_flag_Bosniaand_Herzegovina.gif,보스니아헤르체고비나,사라예보,396만명,"51,129km",마르카,"세르보, 크로아티아어","이슬람교, 세르비아정교"
유럽,l_flag_Bulgaria.gif,불가리아,소피아,789만명,"110,994km",레바,불가리아어,그리스정교
유럽,l_flag_SanMarino.gif,산마리노,산마리노,2.7만명,61km,유로,이탈리아어,그리스도교(카톨릭)
유럽,l_flag_Serbia.gif,세르비아,베오그라드,999만명,"88,361km",디나르,세르보크로아티아어,세르바아정교
유럽,l_flag_sweden.gif,스웨덴,스톡홀름,888만명,"449,964km",스웨덴크로나,스웨덴어,그리스도교(복음루터교)
유럽,l_flag_switzerland.gif,스위스,베른,722만명,"41,284km",스위스프랑,"독일어, 프랑스어, 이탈리아어, 로망스어",그리스도교(카톨릭)
유럽,l_flag_spain.gif,스페인,마드리드,"4,099만명","505,990km",유로,스페인어,그리스도교(카톨릭)
유럽,l_flag_Slovakia.gif,슬로바키아,브라티슬라바,538만명,"49,035km",코루나,슬로바키아어,그리스도교(카톨릭)
유럽,l_flag_Sloveniana.gif,슬로베니아,류불랴나,194만명,"20,273km",톨라르,슬로베니아어,그리스도교(카톨릭)
유럽,l_flag_iceland.gif,아이슬란드,레이캬비크,28만명,"102,819km",아이슬란드크로나,아이슬란드어,그리스도교(복음루터교)
유럽,l_flag_Ireland.gif,아일랜드,더블린,392만명,"70,285km",유로,"영어, 아일랜드어",그리스도교(카톨릭)
유럽,l_flag_Andorra.gif,안도라,안도라,6만명,468km,유로,카탈루냐어,그리스도교(카톨릭)
유럽,l_flag_albania.gif,알바니아,티라나,310만명,"28,748km",렉,알바니아어,이슬람교
유럽,l_flag_Estonia.gif,에스토니아,탈린,135만명,"45,000km",크룬,에스토니아어,그리스도교(개신교)
유럽,l_flag_united_kingdom.gif,영국,런던,"5,995만명","241,752km",파운드,영어,"그리스도교(성공회, 개신교)"
유럽,l_flag_austria.gif,오스트리아,빈,807만명,"83,857km",유로,독일어,그리스도교(카톨릭)
유럽,l_flag_ukraine.gif,우크라이나,키예프,"4,876만명","603,700km",흐리브냐,우크라이나어,러시아정교
유럽,l_flag_iItaly.gif,이탈리아,로마,"5,798만명","301,277km",유로,이탈리아어,그리스도교(카톨릭)
유럽,l_flag_czech.gif,체코,프라하,"1,021만명","78,866km",코루나,체코어,그리스도교(카톨릭)
유럽,l_flag_Croatia.gif,크로아티아,자그레브,468만명,"56,542km",쿠나,세르보크로아티아어,그리스도교(카톨릭)
유럽,l_flag_Cyprus.gif,키프로스,니코시아,86만명,"9,251km",키프로스 파운드,"그리스어, 터키어",그리스도교
유럽,l_flag_portugal.gif,포르투갈,리스본,"1,039만명","92,365km",유로,포르투갈어,그리스도교(카톨릭)
유럽,l_flag_Poland.gif,폴란드,바르샤바,"3,864만명","312,685km",졸티,폴란드어,그리스도교(카톨릭)
유럽,l_flag_france.gif,프랑스,파리,"5,944만명","543,965km",유로,프랑스어,그리스도교(카톨릭)
유럽,l_flag_finland.gif,핀란드,헬싱키,520만명,"338,145km",유로,핀란드어,그리스도교(복음루터교)
유럽,l_flag_Hungary.gif,헝가리,부다페스트,"1,016만명","93,030km",포린트,헝가리어,그리스도교(카톨릭)